Group,1BXR_AB,1BXR_AB,1BXR_AB,2D1P_BC,2D1P_BC,2D1P_BC,3RRL_AB,3RRL_AB,3RRL_AB,2Y69_AC,2Y69_AC,2Y69_AC,1EP3_AB,1EP3_AB,1EP3_AB,2Y69_AB,2Y69_AB,2Y69_AB,1RM6_AB,1RM6_AB,1RM6_AB
Subgroup,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var
13,266,6.292564392089844,0.025806620717048645,57,12.322915077209473,0.07862873375415802,352,11.017341613769531,0.1625644415616989,228,12.171504020690918,0.17366376519203186,146,9.53093433380127,0.10705483704805374,393,14.94668960571289,0.13129009306430817,425,4.560475826263428,0.00925243366509676
14,286,6.471801280975342,0.027830498293042183,61,12.43265151977539,0.08375227451324463,380,11.532576560974121,0.18418242037296295,246,12.496692657470703,0.19213400781154633,157,9.72529411315918,0.11660850793123245,424,15.611204147338867,0.14886368811130524,458,4.7056121826171875,0.010070214979350567
15,307,6.667601108551025,0.029823308810591698,66,12.628106117248535,0.09276213496923447,407,12.087583541870117,0.20436370372772217,264,12.827035903930664,0.21075135469436646,168,9.919726371765137,0.12446831911802292,454,16.296310424804688,0.1636466085910797,491,4.8607869148254395,0.010915396735072136
16,327,6.851195812225342,0.03184907138347626,70,12.736982345581055,0.09645409882068634,434,12.676790237426758,0.22431804239749908,281,13.169026374816895,0.2233012467622757,180,10.170716285705566,0.13348695635795593,484,16.9908390045166,0.18084421753883362,523,5.015805721282959,0.011833921074867249
17,348,7.0651326179504395,0.03392700478434563,74,12.869268417358398,0.10325919836759567,461,13.270793914794922,0.24747604131698608,299,13.535382270812988,0.23756346106529236,191,10.40329647064209,0.13937708735466003,514,17.75168228149414,0.19665004312992096,556,5.190983295440674,0.012782220728695393
18,368,7.274226188659668,0.03666360303759575,79,13.082886695861816,0.1087602823972702,488,13.915940284729004,0.2714354395866394,317,13.920775413513184,0.2585580050945282,202,10.610777854919434,0.1432410031557083,545,18.534988403320312,0.21434690058231354,589,5.374108791351318,0.013737065717577934
19,389,7.512545108795166,0.03893126919865608,83,13.299521446228027,0.11530112475156784,515,14.58303165435791,0.29628893733024597,334,14.318807601928711,0.26684510707855225,214,10.914798736572266,0.14810338616371155,575,19.335508346557617,0.23197972774505615,621,5.563294887542725,0.014519068412482738
20,409,7.757978916168213,0.040316853672266006,88,13.49305534362793,0.12029217928647995,542,15.291592597961426,0.31334179639816284,352,14.703418731689453,0.28246867656707764,225,11.154427528381348,0.1574200689792633,605,20.18716812133789,0.24822647869586945,654,5.762570858001709,0.015399670228362083
21,430,8.014155387878418,0.04162369295954704,92,13.60922622680664,0.12146377563476562,570,16.05677604675293,0.336859792470932,369,15.081952095031738,0.301359087228775,236,11.401092529296875,0.16062031686306,636,21.161115646362305,0.2636648714542389,687,5.9762749671936035,0.016289902850985527
22,450,8.264069557189941,0.043680522590875626,96,13.737513542175293,0.1262494921684265,597,16.81314468383789,0.3599304258823395,387,15.502880096435547,0.3174750506877899,247,11.639344215393066,0.1676131635904312,666,22.100143432617188,0.2823691666126251,720,6.195362567901611,0.017006665468215942
23,471,8.54434585571289,0.04486551880836487,101,13.961362838745117,0.13121840357780457,624,17.630298614501953,0.37869393825531006,405,15.956252098083496,0.32918843626976013,259,11.96642780303955,0.1720762699842453,696,23.11956214904785,0.2953142821788788,752,6.414201736450195,0.017833106219768524
24,491,8.810627937316895,0.0461985319852829,105,14.195180892944336,0.13306014239788055,651,18.46080207824707,0.40304747223854065,422,16.44654083251953,0.32850897312164307,270,12.240984916687012,0.1782151758670807,726,24.120697021484375,0.3124207556247711,785,6.658575534820557,0.018967419862747192
25,512,9.096197128295898,0.04840006306767464,110,14.3842134475708,0.13757948577404022,678,19.295066833496094,0.4267159700393677,440,16.918609619140625,0.3425418734550476,281,12.53050708770752,0.18257185816764832,757,25.23961067199707,0.32898813486099243,818,6.904180526733398,0.019482968375086784
26,532,9.386500358581543,0.04993060231208801,114,14.626523971557617,0.13888466358184814,705,20.210086822509766,0.4441065192222595,457,17.41820526123047,0.3490428030490875,292,12.818758964538574,0.18947650492191315,787,26.330520629882812,0.3440943658351898,851,7.152309417724609,0.020200053229928017
27,553,9.692168235778809,0.05035381764173508,119,14.99581241607666,0.14452657103538513,732,21.146312713623047,0.4617738723754883,475,17.99455451965332,0.35027122497558594,304,13.222733497619629,0.1911475956439972,817,27.46925163269043,0.3602655529975891,883,7.400773525238037,0.02088274620473385
28,573,9.992925643920898,0.05184594541788101,123,15.166951179504395,0.14831013977527618,760,22.169687271118164,0.4773748815059662,493,18.529706954956055,0.3601418733596802,315,13.526382446289062,0.19645488262176514,848,28.70240020751953,0.3737776279449463,916,7.663712024688721,0.021655607968568802
29,594,10.352363586425781,0.05241059511899948,127,15.338142395019531,0.15023930370807648,787,23.165077209472656,0.49919813871383667,510,19.08477210998535,0.3616572618484497,326,13.872118949890137,0.20122113823890686,878,29.995742797851562,0.38243889808654785,949,7.94671630859375,0.02192499116063118
30,614,10.672341346740723,0.05322691798210144,132,15.723445892333984,0.1525275856256485,814,24.184057235717773,0.5216520428657532,528,19.58155059814453,0.37637782096862793,337,14.252028465270996,0.2013097107410431,908,31.27862548828125,0.389717698097229,982,8.230781555175781,0.022525886073708534
31,635,11.020231246948242,0.05485035479068756,136,15.97242259979248,0.15890778601169586,841,25.257930755615234,0.5328670144081116,545,20.13623809814453,0.37964320182800293,349,14.705559730529785,0.20156022906303406,938,32.58641052246094,0.4000702202320099,1014,8.520648956298828,0.022945880889892578
32,655,11.357449531555176,0.05569436028599739,141,16.360055923461914,0.1597936749458313,868,26.382240295410156,0.5401134490966797,563,20.6960506439209,0.38664641976356506,360,15.056529998779297,0.2033378779888153,969,34.01725769042969,0.4091547131538391,1047,8.821952819824219,0.02307453565299511
33,676,11.710101127624512,0.05549505352973938,145,16.52962875366211,0.156585231423378,895,27.622314453125,0.5496006011962891,581,21.28993034362793,0.3900073766708374,371,15.448659896850586,0.2059028148651123,999,35.42244338989258,0.42185351252555847,1080,9.136235237121582,0.023421235382556915
34,696,12.063037872314453,0.055149223655462265,149,16.748144149780273,0.1576201319694519,922,28.77153968811035,0.5543412566184998,598,21.847354888916016,0.3928898870944977,383,15.838644981384277,0.20752814412117004,1029,36.82392501831055,0.4253666400909424,1112,9.457982063293457,0.023284897208213806
35,717,12.4649658203125,0.0550309382379055,154,17.146697998046875,0.15981745719909668,950,30.02039909362793,0.5621287226676941,616,22.46224594116211,0.39059266448020935,394,16.177474975585938,0.20918600261211395,1060,38.386287689208984,0.4289632737636566,1145,9.7708101272583,0.023585624992847443
36,737,12.840349197387695,0.054171375930309296,158,17.40169906616211,0.15275098383426666,977,31.296537399291992,0.5592151880264282,634,23.101354598999023,0.3897317945957184,405,16.573183059692383,0.2031024992465973,1090,39.913536071777344,0.43229350447654724,1178,10.109370231628418,0.023918671533465385
37,758,13.259166717529297,0.05323197692632675,163,17.646175384521484,0.15140944719314575,1004,32.65949630737305,0.5646941661834717,651,23.669084548950195,0.3858110010623932,416,16.995159149169922,0.20172327756881714,1120,41.51601028442383,0.4325720965862274,1211,10.45507526397705,0.02370721846818924
38,778,13.667203903198242,0.05253269523382187,167,17.937955856323242,0.14684459567070007,1031,34.00407409667969,0.5629536509513855,669,24.275054931640625,0.38378915190696716,428,17.489389419555664,0.19494301080703735,1150,43.17264175415039,0.4258199632167816,1243,10.807586669921875,0.02320937067270279
39,799,14.079122543334961,0.05114508792757988,171,18.25951385498047,0.14113225042819977,1058,35.47148132324219,0.5515699982643127,686,24.9500732421875,0.373041570186615,439,17.941619873046875,0.18950600922107697,1181,44.90275573730469,0.41427457332611084,1276,11.191007614135742,0.022557919844985008
40,819,14.516283988952637,0.04862148314714432,176,18.579530715942383,0.13916698098182678,1085,36.93082809448242,0.5381376147270203,704,25.64019203186035,0.3616836965084076,450,18.40897560119629,0.1816469132900238,1211,46.64105987548828,0.4026057720184326,1309,11.579588890075684,0.021556120365858078
41,840,14.988016128540039,0.045960932970047,180,18.852224349975586,0.13388410210609436,1112,38.46254348754883,0.5155231952667236,722,26.32829475402832,0.3439696729183197,461,18.838014602661133,0.17322871088981628,1241,48.43659973144531,0.38605573773384094,1342,11.963170051574707,0.020831985399127007
42,860,15.432007789611816,0.0433584563434124,185,19.123361587524414,0.1273023635149002,1140,40.12165832519531,0.49575918912887573,739,27.00414276123047,0.32423871755599976,473,19.33747100830078,0.1610555648803711,1272,50.34974670410156,0.37033671140670776,1374,12.364468574523926,0.019629884511232376
43,881,15.930957794189453,0.03988365828990936,189,19.492965698242188,0.1168954074382782,1167,41.723358154296875,0.4647829234600067,757,27.753002166748047,0.29755815863609314,484,19.814634323120117,0.1478034108877182,1302,52.287960052490234,0.3465723693370819,1407,12.799817085266113,0.018296029418706894
44,901,16.450725555419922,0.03508179262280464,193,19.813858032226562,0.10430038720369339,1194,43.45618438720703,0.42605680227279663,774,28.455537796020508,0.266722708940506,495,20.264001846313477,0.1322041004896164,1332,54.32566452026367,0.3101998567581177,1440,13.2470703125,0.016250915825366974
45,922,16.951160430908203,0.030360372737050056,198,20.14156723022461,0.09092921018600464,1221,45.21921920776367,0.3699571490287781,792,29.272750854492188,0.22812993824481964,506,20.74578094482422,0.11168242990970612,1362,56.546485900878906,0.2591703534126282,1473,13.709827423095703,0.013962173834443092
46,942,17.44509506225586,0.025562642142176628,202,20.533788681030273,0.07964571565389633,1248,47.18351364135742,0.3055257797241211,810,30.07420539855957,0.17882755398750305,518,21.280054092407227,0.09006401151418686,1393,58.776851654052734,0.2153742015361786,1505,14.149157524108887,0.011468983255326748
47,963,18.020889282226562,0.01764826476573944,207,21.04148292541504,0.050339698791503906,1275,49.18911361694336,0.23205026984214783,827,30.856212615966797,0.1340436190366745,529,21.771717071533203,0.06628286838531494,1423,60.99552536010742,0.1731461137533188,1538,14.646537780761719,0.008475000970065594
48,983,18.553281784057617,0.01057629194110632,211,21.471210479736328,0.030942026525735855,1302,51.32130432128906,0.13883450627326965,845,31.71347427368164,0.0834483951330185,540,22.3626766204834,0.03986770287156105,1453,63.2913932800293,0.11797945201396942,1571,15.13743782043457,0.004762749653309584
49,1004,19.17854881286621,0.0,216,21.97161865234375,0.0,1330,53.69841003417969,0.0,863,32.53349304199219,0.0,552,22.9453182220459,0.0,1484,65.8445816040039,0.0,1604,15.682135581970215,0.0
