Group,1BXR_AB,1BXR_AB,1BXR_AB,1BXR_AB,2D1P_BC,2D1P_BC,2D1P_BC,2D1P_BC,3RRL_AB,3RRL_AB,3RRL_AB,3RRL_AB,2Y69_AC,2Y69_AC,2Y69_AC,2Y69_AC,1EP3_AB,1EP3_AB,1EP3_AB,1EP3_AB,2Y69_AB,2Y69_AB,2Y69_AB,2Y69_AB,1RM6_AB,1RM6_AB,1RM6_AB,1RM6_AB
Subgroup,i0s,i0s_var,natives,gap,i0s,i0s_var,natives,gap,i0s,i0s_var,natives,gap,i0s,i0s_var,natives,gap,i0s,i0s_var,natives,gap,i0s,i0s_var,natives,gap,i0s,i0s_var,natives,gap
0,27.39557,1.784101,36.470676,9.075106,35.853924,1.2258593,40.672108,4.818184,75.29866,18.408163,95.692245,20.393585,23.798235,1.6031575,29.269604,5.471369,22.967903,2.6265695,27.559002,4.591099,74.1541,40.38114,103.83157,29.677475,30.564661,1.0516797,34.650978,4.086317
1,30.372791,1.4921379,36.34987,5.9770775,31.850466,1.3234938,35.788437,3.937971,68.82292,15.616528,85.95654,17.133621,37.26676,4.689545,45.59389,8.327129,29.62329,3.5420852,34.695023,5.0717335,73.19774,25.561504,94.85879,21.661049,31.275223,1.6610261,35.361168,4.085945
2,32.2883,1.4194771,38.098328,5.810028,31.797077,1.529748,36.661015,4.8639374,69.68302,14.721443,85.438194,15.755173,41.157784,3.4750967,48.18994,7.032158,29.971752,2.3243282,34.44477,4.4730186,86.62444,20.00564,106.39585,19.771408,32.562546,1.3432188,35.727684,3.1651382
3,32.475365,1.4364356,37.245964,4.7705994,34.48867,1.3286036,38.3556,3.866928,69.66499,14.033612,85.172386,15.507393,47.83853,4.471966,55.934166,8.095634,31.558954,2.324524,36.209118,4.6501637,98.083145,16.8358,116.55783,18.474686,34.508297,1.2953918,37.51338,3.0050812
4,31.926733,1.2192711,36.531654,4.6049213,35.98573,1.1495005,39.295444,3.3097153,68.40878,14.46067,84.74874,16.339958,48.592823,5.8047094,56.71502,8.122196,33.63799,2.6840577,38.48269,4.8447,98.01807,17.992043,116.8475,18.829437,35.176247,1.1896881,37.780296,2.6040497
